generation,best_id,best_genotype,best_fitness,diversity
0,indi_0_357,"[27.191616165697535, 36.55122006555295, 0.5170920921416932, -0.5039265731618441, 0.027995715320938357, 1.352758790501207e-05, 0.03287770634337304, 0.04044040996315378, 0.014145110468287885, 0.1346442554938314, 1.1154063868730755, 0.08927416396419122, 0.05315442335925374, 0.055144743939493736, 0.23266147386101454, 0.6400342043182367, 4.109412409157987, 0.526749171905678, 0.5476440015531537, 0.21293886949609944]",2427.680179036723,8330.02901203123
1,indi_1_433,"[-167.11905677570093, -78.46464781383938, -168.84214149767803, 34.69603683209821, 155.9669030336724, -27.240478149270036, -321.02249486853475, -254.64110210003332, -194.5399831328045, -28.181356819903886, 5.335930499457889, 101.1137379224971, 1.5500159415602157, 406.3398104173808, -147.46305213948332, -263.56605159761784, 129.55069763472412, 453.85998986150537, -441.27370232931725, -439.69161571805387]",2166.815090247401,230719.58551086992
2,indi_2_469,"[51.9791542283176, -23.85273130835594, -29.376332319075594, 9.12622898082352, 153.7109012815806, -16.85339999593684, -56.18326290140759, -28.367056256229105, -83.40598368233981, -12.375833063819652, 4.4654723369764495, 64.73777231614756, 0.11204015182849221, 8.639789423934495, -57.08294375679189, -155.98292185472963, 38.52553676015819, 209.54183720472244, -157.89332338269415, -139.78404012466356]",595.8680987742262,265322.1478166623
3,indi_3_411,"[53.19019577927216, -9.213141485223947, -116.58678724777772, 2.20222476063412, 97.58456764898833, -5.677807761105302, -56.65006067384077, -15.374396402293732, -128.64773908152398, -3.8319959307810607, 1.3793231355897597, 20.991717045391134, 0.8466500832725284, 59.40926496582338, -29.820636036007286, -84.07706540813598, 16.363719115034474, 24.001942107994385, -45.104717568919874, -26.324866128186713]",214.7762355493283,383653.5903358661
4,indi_4_741,"[39.775840074036886, -6.290344687029203, -87.77587788419052, 0.4523821615458816, 8.039436410885983, -28.08039942598529, -27.776933792880513, -177.7940080008597, -89.29851819147966, -12.235425549673852, 66.16956654181104, 76.11918183849785, -0.04435479007326029, 175.5509252553091, 124.98202268073308, -32.57713505601195, 16.366778401652248, 26.483287660981155, -123.48740883102451, -90.2015672942774]",132.59873423368535,295719.4957167196
5,indi_5_545,"[42.78882271014302, -6.434652736370319, -54.00198910302402, 0.3919543156068245, 8.117130650457327, -13.028266825210434, -42.363415715186335, -49.478540983023464, -74.12437830502918, -13.38164987393447, 55.04180689796768, 41.34911752503765, 0.0491971114975981, 146.26277843690212, 75.10727369415196, -52.81204510180105, 16.02858336064375, 55.394702630305204, -36.997230044362986, -90.33023746163767]",100.75006784554105,255041.04277462774
6,indi_6_440,"[39.63350970602145, -5.443413226452935, -42.22968172474302, 0.5236567319791781, 15.21489145123082, -23.254095411001224, -59.266487025179224, -87.19068019227018, -67.00971191908603, -4.589366854669484, 44.12796904966391, 74.05488139995694, 0.41582491950025713, 145.64683028367455, 101.94497856644087, -36.31292746857765, 15.657011717989153, 110.90244079012686, -124.95901522488228, -103.07744463528115]",87.68804103426335,243471.37720032677
7,indi_7_570,"[9.128341299321512, -2.924651704163255, -32.48669157315158, -0.35854476697481164, 69.44947231872005, -9.813861972098941, -40.46819244248723, -38.4897641658565, -63.36008932403173, -3.331351947654774, 50.5398317076259, 50.6145784536209, -1.2513189908772582, 141.09161013930458, -33.571082804251276, -50.547655034474886, 10.798122939006136, 137.16640382625994, -65.62739825470592, -75.40986855851018]",62.28633585610219,255721.4459828726
8,indi_8_666,"[4.3068441197695275, -3.3897531518709303, -20.2407357905441, -0.10000423955820331, 19.873341603193026, -19.0298143684762, -57.520745922501575, -73.09612008143375, -102.65530607912079, -12.799002887384724, 82.9009390795883, 52.18225114244436, -0.0953338254661443, 130.81522194437895, 65.29374906211342, -54.17552302908931, 12.34442660711136, 85.69831675764198, -105.1333003410767, -43.01094649262572]",55.185407461139,220426.0803490809
9,indi_9_485,"[3.7343018116867914, -3.1530593467885204, -26.447288985368466, -0.18074091932778072, 27.789741567460737, -19.065139235199357, -57.31513045722647, -60.373186010089874, -106.55072763005249, -12.140180020622156, 80.36468094744257, 43.57410676933443, -0.15278968508091648, 149.02007039796845, 11.13532358835226, -62.85729986097045, 11.209880842646886, 99.30833084053413, -75.69954084052334, -59.57218759842342]",51.34045647592964,235197.07176840588
10,indi_10_581,"[9.519172485893684, -3.1919982880099704, -24.472299135213337, -0.12074145563649788, 36.868350624150516, -12.001696765437575, -39.11926596575607, -55.83439222472224, -104.00925728391896, -9.153826857489271, 79.94336150055807, 64.90107645691084, -0.7395263686370197, 147.834074420553, -25.653167317795123, -36.05096411262182, 11.022179220167901, 113.00517486961944, -89.2155203609278, -80.36594787037576]",50.69882699231022,180270.69455690484
11,indi_11_409,"[3.429774783418692, -3.1546117374164364, -25.269310451521108, -0.18684870010948046, 42.66448111947573, -12.521607840619348, -48.993495236961095, -51.65321479977607, -103.69942560225729, -13.101892928708569, 85.65135457802879, 51.05823131216512, -0.5697992443710316, 134.0596571558422, -9.104627591489722, -60.24229037402332, 11.259180077352916, 106.77466293477315, -94.96720139057743, -44.86450202395562]",50.11072902448841,242118.3864326126
12,indi_12_453,"[1.0110100251625633, -2.975287131460436, -25.92328190303949, -0.17816718328258702, 45.901519983036174, -13.126255792730323, -49.83584255585034, -50.713847001143336, -101.82411829950553, -11.082993785115107, 83.99414276483073, 49.98776172079992, -0.7513905957205549, 141.17814412518086, 5.378858329880738, -51.95836475927108, 11.176043079890928, 104.24774654505383, -101.25452135311565, -57.66307968606715]",49.57352533827468,164554.44938802885
13,indi_13_699,"[3.098047863944702, -2.988189768829893, -24.69025665972689, -0.1695469180261779, 51.507766201354556, -14.482946977357148, -49.15948917890755, -59.183177858515094, -93.75338605650803, -12.85485866074469, 82.42414873130734, 51.45124493022993, -0.6508272962652747, 141.20818456034954, -6.626607464345566, -51.54269550534406, 11.133308175628976, 94.76553879919221, -93.08088172895859, -52.34208357032326]",49.5653987387364,209386.55190356256
